idbotol,botol_tipe,botol_harga,botol_stock,botol_date,botol_author,botol_ls_stock,botol_ls_date,botol_ls_author
46,"REFILL",0.0000000000000000e+00,1.9000000000000000e+01,"2007-03-31","admin",0.0000000000000000e+00,"2007-03-31","admin"
52,"25 CC PLASTI",0.0000000000000000e+00,3.9000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
53,"60 CC PLASTI",0.0000000000000000e+00,1.7000000000000000e+01,"2007-06-01","YUNI",1.0600000000000000e+02,"2007-03-28","admin"
54,"ROL ON",2.0000000000000000e+03,1.1000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
56,"35 CC CLEAR",6.0000000000000000e+03,7.2000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
57,"50 CC DOFF",6.0000000000000000e+03,6.6000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
58,"35 CC DOFF",6.0000000000000000e+03,1.4200000000000000e+02,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
59,"40 CC KF",6.0000000000000000e+03,8.9000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
60,"55 CC KF",7.0000000000000000e+03,9.2000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
62,"10 CC PLASTI",0.0000000000000000e+00,1.8000000000000000e+01,"2007-04-01","admin",0.0000000000000000e+00,"2007-04-01","admin"
63,"7CC LIPSTIK",5.0000000000000000e+03,5.9000000000000000e+01,"2007-05-09","admin",0.0000000000000000e+00,"2007-05-09","admin"
